candidate_id,smiles,provenance,canonical_smiles,contract_valid,rejection_reasons,ad_max_morgan_tanimoto,ad_status,ee_prediction_development,ee_model_status,acquisition_rank,acquisition_objective
enum-035788,[N-]=[N+]=Nc1cc(CCO)ccc1CCc2cc(c1ccoc1)cc(c1ccsc1)c2,deterministic-enumeration,[N-]=[N+]=Nc1cc(CCO)ccc1CCc1cc(-c2ccoc2)cc(-c2ccsc2)c1,true,,0.433333,in_domain,96.4522,frozen_development_ridge_not_prospective_truth,1,predicted_ee_descending
enum-034990,[N-]=[N+]=Nc1cc(CCO)ccc1CCc2cc(C(F)(F)F)cc(c1ccsc1)c2,deterministic-enumeration,[N-]=[N+]=Nc1cc(CCO)ccc1CCc1cc(-c2ccsc2)cc(C(F)(F)F)c1,true,,0.466667,in_domain,95.3734,frozen_development_ridge_not_prospective_truth,2,predicted_ee_descending
enum-034989,[N-]=[N+]=Nc1cc(CCO)ccc1CCc2cc(C(F)(F)F)cc(c1ccoc1)c2,deterministic-enumeration,[N-]=[N+]=Nc1cc(CCO)ccc1CCc1cc(-c2ccoc2)cc(C(F)(F)F)c1,true,,0.491525,in_domain,94.8609,frozen_development_ridge_not_prospective_truth,3,predicted_ee_descending
enum-034664,[N-]=[N+]=Nc1cc(CCO)ccc1CCc2cc(C)cc(C(F)(F)F)c2,deterministic-enumeration,Cc1cc(CCc2ccc(CCO)cc2N=[N+]=[N-])cc(C(F)(F)F)c1,true,,0.528302,in_domain,94.7864,frozen_development_ridge_not_prospective_truth,4,predicted_ee_descending
enum-035256,[N-]=[N+]=Nc1cc(CCO)ccc1CCc2cc(c1ccccc1C)cc(c1ccsc1)c2,deterministic-enumeration,Cc1ccccc1-c1cc(CCc2ccc(CCO)cc2N=[N+]=[N-])cc(-c2ccsc2)c1,true,,0.466667,in_domain,94.7551,frozen_development_ridge_not_prospective_truth,5,predicted_ee_descending
enum-035218,[N-]=[N+]=Nc1cc(CCO)ccc1CCc2cc(c1ccc(Cl)cc1)cc(c1ccsc1)c2,deterministic-enumeration,[N-]=[N+]=Nc1cc(CCO)ccc1CCc1cc(-c2ccc(Cl)cc2)cc(-c2ccsc2)c1,true,,0.464286,in_domain,94.3682,frozen_development_ridge_not_prospective_truth,6,predicted_ee_descending
enum-035255,[N-]=[N+]=Nc1cc(CCO)ccc1CCc2cc(c1ccccc1C)cc(c1ccoc1)c2,deterministic-enumeration,Cc1ccccc1-c1cc(CCc2ccc(CCO)cc2N=[N+]=[N-])cc(-c2ccoc2)c1,true,,0.466667,in_domain,94.2425,frozen_development_ridge_not_prospective_truth,7,predicted_ee_descending
enum-034914,[N-]=[N+]=Nc1cc(CCO)ccc1CCc2cc(Cl)cc(c1ccsc1)c2,deterministic-enumeration,[N-]=[N+]=Nc1cc(CCO)ccc1CCc1cc(Cl)cc(-c2ccsc2)c1,true,,0.472727,in_domain,93.8822,frozen_development_ridge_not_prospective_truth,8,predicted_ee_descending
enum-035217,[N-]=[N+]=Nc1cc(CCO)ccc1CCc2cc(c1ccc(Cl)cc1)cc(c1ccoc1)c2,deterministic-enumeration,[N-]=[N+]=Nc1cc(CCO)ccc1CCc1cc(-c2ccc(Cl)cc2)cc(-c2ccoc2)c1,true,,0.464286,in_domain,93.8556,frozen_development_ridge_not_prospective_truth,9,predicted_ee_descending
enum-034682,[N-]=[N+]=Nc1cc(CCO)ccc1CCc2cc(C)cc(C(C)(C)C)c2,deterministic-enumeration,Cc1cc(CCc2ccc(CCO)cc2N=[N+]=[N-])cc(C(C)(C)C)c1,true,,0.500000,in_domain,93.7120,frozen_development_ridge_not_prospective_truth,10,predicted_ee_descending
enum-034838,[N-]=[N+]=Nc1cc(CCO)ccc1CCc2cc(OC)cc(c1ccsc1)c2,deterministic-enumeration,COc1cc(CCc2ccc(CCO)cc2N=[N+]=[N-])cc(-c2ccsc2)c1,true,,0.483333,in_domain,93.6773,frozen_development_ridge_not_prospective_truth,11,predicted_ee_descending
enum-034913,[N-]=[N+]=Nc1cc(CCO)ccc1CCc2cc(Cl)cc(c1ccoc1)c2,deterministic-enumeration,[N-]=[N+]=Nc1cc(CCO)ccc1CCc1cc(Cl)cc(-c2ccoc2)c1,true,,0.472727,in_domain,93.3696,frozen_development_ridge_not_prospective_truth,12,predicted_ee_descending
enum-034837,[N-]=[N+]=Nc1cc(CCO)ccc1CCc2cc(OC)cc(c1ccoc1)c2,deterministic-enumeration,COc1cc(CCc2ccc(CCO)cc2N=[N+]=[N-])cc(-c2ccoc2)c1,true,,0.483333,in_domain,93.1647,frozen_development_ridge_not_prospective_truth,13,predicted_ee_descending
enum-034975,[N-]=[N+]=Nc1cc(CCO)ccc1CCc2cc(C(F)(F)F)cc(c1ccccc1C)c2,deterministic-enumeration,Cc1ccccc1-c1cc(CCc2ccc(CCO)cc2N=[N+]=[N-])cc(C(F)(F)F)c1,true,,0.508475,in_domain,93.1638,frozen_development_ridge_not_prospective_truth,14,predicted_ee_descending
enum-034823,[N-]=[N+]=Nc1cc(CCO)ccc1CCc2cc(OC)cc(c1ccccc1C)c2,deterministic-enumeration,COc1cc(CCc2ccc(CCO)cc2N=[N+]=[N-])cc(-c2ccccc2C)c1,true,,0.534483,in_domain,93.0547,frozen_development_ridge_not_prospective_truth,15,predicted_ee_descending
enum-034686,[N-]=[N+]=Nc1cc(CCO)ccc1CCc2cc(C)cc(c1ccsc1)c2,deterministic-enumeration,Cc1cc(CCc2ccc(CCO)cc2N=[N+]=[N-])cc(-c2ccsc2)c1,true,,0.464286,in_domain,92.9875,frozen_development_ridge_not_prospective_truth,16,predicted_ee_descending
